FID,gid,capacity_factor
west_wind_site_metadata.90194,90194,34.84375
west_wind_site_metadata.90195,90195,34.71875
west_wind_site_metadata.90196,90196,33.71875
west_wind_site_metadata.90197,90197,33.71875
west_wind_site_metadata.90198,90198,31.953125
west_wind_site_metadata.90199,90199,31.640625
west_wind_site_metadata.90200,90200,30.15625
west_wind_site_metadata.90201,90201,29.921875
west_wind_site_metadata.90202,90202,22.96875
west_wind_site_metadata.90203,90203,35.25
west_wind_site_metadata.90204,90204,34.8125
west_wind_site_metadata.90205,90205,33.78125
west_wind_site_metadata.90206,90206,33.25
west_wind_site_metadata.90207,90207,31.65625
west_wind_site_metadata.90208,90208,30.71875
west_wind_site_metadata.90209,90209,29.40625
west_wind_site_metadata.90210,90210,21.734375
west_wind_site_metadata.90211,90211,21.765625
west_wind_site_metadata.90212,90212,22.234375
west_wind_site_metadata.90213,90213,22.34375
west_wind_site_metadata.90214,90214,22.4375
west_wind_site_metadata.90215,90215,34.78125
west_wind_site_metadata.90216,90216,34.3125
west_wind_site_metadata.90217,90217,33.28125
west_wind_site_metadata.90218,90218,32.96875
west_wind_site_metadata.90219,90219,31.59375
west_wind_site_metadata.90220,90220,30.84375
west_wind_site_metadata.90221,90221,29.71875
west_wind_site_metadata.90222,90222,20.25
west_wind_site_metadata.90223,90223,21.453125
west_wind_site_metadata.90224,90224,22.15625
west_wind_site_metadata.90225,90225,22.265625
west_wind_site_metadata.90226,90226,22.734375
west_wind_site_metadata.90227,90227,23
west_wind_site_metadata.90228,90228,22.90625
west_wind_site_metadata.90229,90229,29.984375
west_wind_site_metadata.90230,90230,28.953125
west_wind_site_metadata.90231,90231,26.046875
west_wind_site_metadata.90232,90232,34
west_wind_site_metadata.90233,90233,33.625
west_wind_site_metadata.90234,90234,32.5625
west_wind_site_metadata.90235,90235,31.96875
west_wind_site_metadata.90236,90236,30.84375
west_wind_site_metadata.90237,90237,29.78125
west_wind_site_metadata.90238,90238,22.484375
west_wind_site_metadata.90239,90239,23.359375
west_wind_site_metadata.90240,90240,23.015625
west_wind_site_metadata.90241,90241,34.21875
west_wind_site_metadata.90242,90242,34.0625
west_wind_site_metadata.90243,90243,33.15625
west_wind_site_metadata.90244,90244,32
west_wind_site_metadata.90245,90245,31.515625
west_wind_site_metadata.90246,90246,30.546875
west_wind_site_metadata.90247,90247,22.203125
west_wind_site_metadata.90248,90248,20.984375
west_wind_site_metadata.90249,90249,23.5625
west_wind_site_metadata.90250,90250,32.625
west_wind_site_metadata.90251,90251,34.0625
west_wind_site_metadata.90252,90252,33.75
west_wind_site_metadata.90253,90253,34.25
west_wind_site_metadata.90254,90254,34.3125
west_wind_site_metadata.90255,90255,33.65625
west_wind_site_metadata.90256,90256,33
west_wind_site_metadata.90257,90257,31.8125
west_wind_site_metadata.90258,90258,31.375
west_wind_site_metadata.90259,90259,30.546875
west_wind_site_metadata.90260,90260,32.09375
west_wind_site_metadata.90261,90261,33.3125
west_wind_site_metadata.90262,90262,33.25
west_wind_site_metadata.90263,90263,34.6875
west_wind_site_metadata.90264,90264,34.40625
west_wind_site_metadata.90265,90265,34.78125
west_wind_site_metadata.90266,90266,34.875
west_wind_site_metadata.90267,90267,34.53125
west_wind_site_metadata.90268,90268,34.1875
west_wind_site_metadata.90269,90269,33.84375
west_wind_site_metadata.90270,90270,32.84375
west_wind_site_metadata.90271,90271,32.125
west_wind_site_metadata.90272,90272,31.078125
west_wind_site_metadata.90273,90273,30.734375
west_wind_site_metadata.90274,90274,22.671875
west_wind_site_metadata.90275,90275,19.40625
west_wind_site_metadata.90276,90276,20.421875
west_wind_site_metadata.90277,90277,21.046875
west_wind_site_metadata.90278,90278,31.71875
west_wind_site_metadata.90279,90279,34.34375
west_wind_site_metadata.90280,90280,34
west_wind_site_metadata.90281,90281,34.9375
west_wind_site_metadata.90282,90282,34.84375
west_wind_site_metadata.90283,90283,35.40625
west_wind_site_metadata.90284,90284,35.21875
west_wind_site_metadata.90285,90285,35.28125
west_wind_site_metadata.90286,90286,35.28125
west_wind_site_metadata.90287,90287,34.84375
west_wind_site_metadata.90288,90288,34.34375
west_wind_site_metadata.90289,90289,33.71875
west_wind_site_metadata.90290,90290,32.6875
west_wind_site_metadata.90291,90291,31.96875
west_wind_site_metadata.90292,90292,31.046875
west_wind_site_metadata.90293,90293,30.53125
west_wind_site_metadata.90294,90294,19.75
west_wind_site_metadata.90295,90295,20.671875
west_wind_site_metadata.90296,90296,21.140625
west_wind_site_metadata.90297,90297,32.625
west_wind_site_metadata.90298,90298,31.921875
west_wind_site_metadata.90299,90299,34.375
west_wind_site_metadata.90300,90300,34
west_wind_site_metadata.90301,90301,34.75
west_wind_site_metadata.90302,90302,34.4375
west_wind_site_metadata.90303,90303,34.8125
west_wind_site_metadata.90304,90304,34.53125
west_wind_site_metadata.90305,90305,34.5
west_wind_site_metadata.90306,90306,34.3125
west_wind_site_metadata.90307,90307,33.78125
west_wind_site_metadata.90308,90308,33.3125
west_wind_site_metadata.90309,90309,32.90625
west_wind_site_metadata.90310,90310,32.0625
west_wind_site_metadata.90311,90311,31.578125
west_wind_site_metadata.90312,90312,30.8125
west_wind_site_metadata.90313,90313,30.46875
west_wind_site_metadata.90314,90314,24.578125
west_wind_site_metadata.90315,90315,33.125
west_wind_site_metadata.90316,90316,32.625
west_wind_site_metadata.90317,90317,34.375
west_wind_site_metadata.90318,90318,33.65625
west_wind_site_metadata.90319,90319,35.125
